City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Puerto Ayora,EC,78.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
6,Kapaa,US,81.12,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
7,Rikitea,PF,78.75,broken clouds,-23.1203,-134.9692,People ThankYou
11,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
20,Arraial Do Cabo,BR,77.67,clear sky,-22.9661,-42.0278,Pousada Porto Praia
22,Celestun,MX,77.74,scattered clouds,20.8667,-90.4,Posada Lilia
23,Ayame,CI,76.64,broken clouds,5.6083,-3.1563,Hotel Bossan
26,Mahebourg,MU,79.09,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
39,Hithadhoo,MV,82.0,clear sky,-0.6,73.0833,Scoop Guest House
47,Sinnamary,GF,76.95,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
49,Isangel,VU,83.61,scattered clouds,-19.55,169.2667,Tanna Lodge
51,Bengkulu,ID,81.64,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
53,Kupang,ID,84.6,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
58,Biltine,TD,75.2,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
59,Bambous Virieux,MU,79.05,scattered clouds,-20.3428,57.7575,Casa Tia Villa
61,Avarua,CK,84.25,scattered clouds,-21.2078,-159.775,Paradise Inn
63,Faanui,PF,81.32,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
64,Butaritari,KI,81.07,light rain,3.0707,172.7902,Isles Sunset Lodge
66,Hilo,US,80.33,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
69,Marawi,PH,81.16,scattered clouds,7.9986,124.2928,Derogongan Residence
77,Atuona,PF,78.4,few clouds,-9.8,-139.0333,Villa Enata
80,Kihei,US,80.96,light rain,20.785,-156.4656,Maui Sunset
82,Sur,OM,78.21,clear sky,22.5667,59.5289,Sur Plaza Hotel
84,Victoria,HK,75.25,broken clouds,22.2855,114.1577,Mini Hotel Central
85,Grand Gaube,MU,79.2,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
86,Vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
96,Matara,LK,77.7,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
