City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Puerto Ayora,EC,2022-03-07 04:38:59,-0.7393,-90.3518,76.59,84,89,4.41
1,Castro,BR,2022-03-07 04:38:59,-24.7911,-50.0119,63.36,90,30,2.37
2,Cherskiy,RU,2022-03-07 04:39:00,68.75,161.3,-13.34,93,67,4.12
3,Ushuaia,AR,2022-03-07 04:34:23,-54.8,-68.3,38.86,93,75,9.22
4,Lompoc,US,2022-03-07 04:35:52,34.6391,-120.4579,50.56,84,0,17.0
5,West Bay,KY,2022-03-07 04:39:01,19.3667,-81.4167,79.07,87,35,3.0
6,Marawi,PH,2022-03-07 04:39:01,7.9986,124.2928,72.64,88,92,5.55
7,Haldwani,IN,2022-03-07 04:39:01,29.2167,79.5167,77.23,31,100,3.94
8,Kapaa,US,2022-03-07 04:39:02,22.0752,-159.319,75.52,68,0,3.44
9,Raudeberg,NO,2022-03-07 04:39:02,61.9875,5.1352,40.87,83,100,19.98
10,Diffa,NE,2022-03-07 04:39:03,13.3154,12.6113,84.33,9,100,5.88
11,The Valley,AI,2022-03-07 04:39:03,18.217,-63.0578,76.86,74,19,26.71
12,Kodiak,US,2022-03-07 04:39:03,57.79,-152.4072,38.71,70,0,13.8
13,Rikitea,PF,2022-03-07 04:39:04,-23.1203,-134.9692,79.54,78,97,16.78
14,Yulara,AU,2022-03-07 04:39:04,-25.2406,130.9889,91.24,24,8,10.36
15,Vostok,RU,2022-03-07 04:39:05,46.4856,135.8833,22.26,74,60,8.99
16,Kasongo-Lunda,CD,2022-03-07 04:39:05,-6.4667,16.8167,65.43,94,91,0.98
17,Busselton,AU,2022-03-07 04:39:06,-33.65,115.3333,85.05,40,1,7.18
18,Bredasdorp,ZA,2022-03-07 04:38:00,-34.5322,20.0403,70.92,78,99,8.05
19,Maiduguri,NG,2022-03-07 04:39:06,11.8464,13.1603,78.4,18,76,3.2
20,Kangaatsiaq,GL,2022-03-07 04:39:07,68.3065,-53.4641,3.09,91,100,16.4
21,Valdivia,CL,2022-03-07 04:39:07,-39.8142,-73.2459,59.09,99,41,3.18
22,Penzance,GB,2022-03-07 04:39:07,50.1186,-5.5371,43.77,64,100,18.5
23,Punta Arenas,CL,2022-03-07 04:39:08,-53.15,-70.9167,35.71,87,75,4.61
24,Santa Isabel Do Rio Negro,BR,2022-03-07 04:39:08,-0.4139,-65.0192,74.08,92,100,0.25
25,Hobart,AU,2022-03-07 04:39:09,-42.8794,147.3294,74.01,41,20,6.91
26,Freetown,SL,2022-03-07 04:39:09,8.484,-13.2299,75.34,76,27,5.21
27,Leningradskiy,RU,2022-03-07 04:39:09,69.3833,178.4167,-9.94,96,100,7.94
28,Zastron,ZA,2022-03-07 04:39:10,-30.3023,27.084,59.07,67,64,1.43
29,Lokosovo,RU,2022-03-07 04:39:10,61.1333,74.8167,4.01,94,100,11.41
30,Molina,CL,2022-03-07 04:39:11,-35.1167,-71.2833,56.93,67,0,2.3
31,New Norfolk,AU,2022-03-07 04:37:34,-42.7826,147.0587,73.65,33,22,3.0
32,Sampit,ID,2022-03-07 04:39:11,-2.5333,112.95,83.44,79,66,6.06
33,Port Hardy,CA,2022-03-07 04:39:11,50.6996,-127.4199,44.76,100,75,2.3
34,Kondagaon,IN,2022-03-07 04:39:12,19.6,81.6667,89.08,16,0,2.84
35,Boca Do Acre,BR,2022-03-07 04:39:12,-8.7522,-67.3978,72.48,99,100,2.28
36,Portland,US,2022-03-07 04:38:46,45.5234,-122.6762,45.95,85,0,1.01
