,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Castro,BR,2022-03-11 00:39:44,-24.7911,-50.0119,65.34,96,100,1.68
1,Hobart,AU,2022-03-11 00:37:19,-42.8794,147.3294,71.02,50,20,9.22
2,Kaitangata,NZ,2022-03-11 00:39:45,-46.2817,169.8464,69.73,53,100,10.51
3,Bluff,NZ,2022-03-11 00:39:45,-46.6,168.3333,66.79,64,100,8.37
4,Cherskiy,RU,2022-03-11 00:39:45,68.75,161.3,17.04,75,79,6.46
5,Henties Bay,NA,2022-03-11 00:39:46,-22.116,14.2845,66.49,85,97,4.85
6,Miri,MY,2022-03-11 00:39:46,4.4148,114.0089,78.94,89,20,3.44
7,Rikitea,PF,2022-03-11 00:37:56,-23.1203,-134.9692,78.71,70,59,6.22
8,Busselton,AU,2022-03-11 00:39:47,-33.65,115.3333,82.71,35,2,9.8
9,Arraial Do Cabo,BR,2022-03-11 00:39:47,-22.9661,-42.0278,77.88,85,1,24.14
10,Hilo,US,2022-03-11 00:39:47,19.7297,-155.09,82.13,75,20,13.8
11,Kruisfontein,ZA,2022-03-11 00:39:48,-34.0033,24.7314,63.73,95,0,5.3
12,Cabo San Lucas,MX,2022-03-11 00:36:36,22.8909,-109.9124,73.62,58,3,10.67
13,Guerrero Negro,MX,2022-03-11 00:39:48,27.9769,-114.0611,62.02,67,100,17.69
14,Oranjestad,AW,2022-03-11 00:39:49,12.524,-70.027,80.55,78,40,17.27
15,Atuona,PF,2022-03-11 00:39:49,-9.8,-139.0333,78.39,73,9,14.16
16,Dikson,RU,2022-03-11 00:39:50,73.5069,80.5464,-14.57,97,70,17.47
17,Buenaventura,CO,2022-03-11 00:39:50,3.8801,-77.0312,75.09,92,29,1.34
18,Inuvik,CA,2022-03-11 00:39:50,68.3499,-133.7218,-8.64,77,20,3.44
19,Port Alfred,ZA,2022-03-11 00:39:51,-33.5906,26.891,71.44,81,75,3.18
20,Port Augusta,AU,2022-03-11 00:39:51,-32.5,137.7667,77.29,22,100,4.54
21,Pucallpa,PE,2022-03-11 00:39:52,-8.3791,-74.5539,80.64,83,75,5.75
22,Avera,US,2022-03-11 00:39:52,33.194,-82.5271,53.38,86,100,9.4
23,Port-Gentil,GA,2022-03-11 00:39:52,-0.7193,8.7815,81.54,78,100,8.66
24,Ushuaia,AR,2022-03-11 00:39:53,-54.8,-68.3,47.86,76,75,4.61
25,Yellowknife,CA,2022-03-11 00:39:53,62.456,-114.3525,-1.71,54,20,10.36
26,Krasnoselkup,RU,2022-03-11 00:39:53,65.7,82.4667,-9.76,100,97,2.82
27,Qaanaaq,GL,2022-03-11 00:39:54,77.484,-69.3632,-7.46,80,100,1.92
28,La Ronge,CA,2022-03-11 00:37:11,55.1001,-105.2842,-3.75,59,75,21.85
29,Juba,SS,2022-03-11 00:39:54,4.8517,31.5825,84.15,34,70,1.99
30,Hithadhoo,MV,2022-03-11 00:39:55,-0.6,73.0833,81.9,59,5,3.85
31,Khatanga,RU,2022-03-11 00:35:49,71.9667,102.5,-24.61,100,100,5.28
32,Barrow,US,2022-03-11 00:39:56,71.2906,-156.7887,-11.18,70,0,5.75
33,Jutai,BR,2022-03-11 00:39:56,-5.1833,-68.9,73.6,95,82,1.3
34,Sao Filipe,CV,2022-03-11 00:39:56,14.8961,-24.4956,70.99,72,4,12.06
35,Mataura,NZ,2022-03-11 00:39:57,-46.1927,168.8643,66.47,56,100,8.01
36,Ola,RU,2022-03-11 00:39:57,59.5833,151.2833,25.86,72,100,7.67
37,Talnakh,RU,2022-03-11 00:39:58,69.4865,88.3972,-29.07,98,68,7.52
38,Hermanus,ZA,2022-03-11 00:39:58,-34.4187,19.2345,66.79,88,0,11.01
39,Ponta Delgada,PT,2022-03-11 00:39:59,37.7333,-25.6667,57.92,67,20,6.91
40,Albany,US,2022-03-11 00:39:59,42.6001,-73.9662,35.92,85,100,1.99
41,Georgetown,MY,2022-03-11 00:35:26,5.4112,100.3354,80.53,93,20,2.3
42,Kudahuvadhoo,MV,2022-03-11 00:40:00,2.6708,72.8944,82.35,71,8,7.94
43,Tasiilaq,GL,2022-03-11 00:40:00,65.6145,-37.6368,23.74,76,100,17.85
44,Punta Arenas,CL,2022-03-11 00:36:26,-53.15,-70.9167,57.31,72,75,12.66
45,Sola,VU,2022-03-11 00:40:01,-13.8833,167.55,86.67,74,75,2.3
46,Alyangula,AU,2022-03-11 00:40:01,-13.8483,136.4192,89.47,70,40,3.44
47,Tuktoyaktuk,CA,2022-03-11 00:40:02,69.4541,-133.0374,-18.4,76,75,5.75
48,San Patricio,US,2022-03-11 00:40:03,28.017,-97.5169,67.17,84,100,8.86
49,Maningrida,AU,2022-03-11 00:37:19,-12.0667,134.2667,88.29,64,100,3.67
50,Norman Wells,CA,2022-03-11 00:35:45,65.282,-126.8329,-3.96,59,75,8.05
51,Jamestown,US,2022-03-11 00:38:05,42.097,-79.2353,31.01,58,0,5.75
52,Sri Aman,MY,2022-03-11 00:40:04,1.2376,111.4621,77.09,94,20,0.0
53,East London,ZA,2022-03-11 00:40:05,-33.0153,27.9116,70.43,85,20,5.53
54,Rawson,AR,2022-03-11 00:40:06,-43.3002,-65.1023,58.84,62,0,12.12
55,Nome,US,2022-03-11 00:38:57,64.5011,-165.4064,24.87,64,0,33.38
56,New Norfolk,AU,2022-03-11 00:40:07,-42.7826,147.0587,70.66,44,10,5.01
57,Valmiera,LV,2022-03-11 00:40:07,57.5411,25.4275,24.42,72,27,6.38
58,Vao,NC,2022-03-11 00:40:07,-22.6667,167.4833,78.55,79,6,7.43
59,Saskylakh,RU,2022-03-11 00:40:08,71.9167,114.0833,-28.73,99,100,4.36
60,Vanavara,RU,2022-03-11 00:40:08,60.34,102.2797,-15.92,98,81,4.5
61,Ronne,DK,2022-03-11 00:40:09,55.1009,14.7066,35.51,60,76,23.02
62,Sibolga,ID,2022-03-11 00:40:09,1.7427,98.7792,77.38,86,91,1.81
63,Altamira,BR,2022-03-11 00:40:10,-3.2033,-52.2064,72.09,98,100,2.24
